Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
27,29,27,29,28,28
7,5,11,14,10,10
8,6,10,13,11,11
9,7,11,13,12,12
10,8,12,12,13,13
11,9,13,13,14,14
12,10,14,14,15,15
13,11,15,15,16,16
14,12,16,16,17,17
15,13,17,17,18,18
16,14,18,18,19,19
17,15,19,19,20,20
18,16,20,20,21,21
19,17,21,21,22,22
20,18,22,22,23,23
21,19,23,23,24,24
22,20,24,24,25,25
23,21,25,25,26,26
24,22,26,26,27,27
25,23,27,27,28,28
26,24,28,28,27,29
27,25,27,29,28,28
26,26,28,28,27,29
27,27,27,29,28,28
28,28,26,29,27,29
27,29,27,29,28,28
