Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
27,28,28,28,28,28
2,9,18,23,13,29
3,10,17,24,14,28
4,11,16,25,15,29
5,12,15,26,16,28
6,13,16,27,17,29
7,14,16,28,18,28
8,15,17,29,19,29
9,16,18,29,20,28
10,17,19,29,21,29
11,18,20,29,22,28
12,19,21,29,23,29
13,20,22,29,24,28
14,21,23,29,25,29
15,22,24,29,26,28
16,23,25,29,27,29
17,24,26,29,28,28
18,25,27,28,27,29
19,26,27,29,28,28
20,27,28,28,27,29
21,28,27,29,28,28
22,29,28,28,27,29
23,28,27,29,28,28
24,29,28,28,27,29
25,28,27,29,28,28
26,29,28,28,27,29
27,28,28,28,28,28
