Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
27,29,21,29,20,28
27,29,12,21,8,28
28,28,11,22,9,29
27,29,10,23,10,28
28,28,10,24,11,29
27,29,11,25,12,28
28,28,12,26,13,29
27,29,13,27,14,28
28,28,14,28,15,29
27,29,15,29,16,28
28,28,16,28,17,29
27,29,17,29,18,28
28,28,18,28,19,29
27,29,19,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
28,28,20,28,21,29
27,29,21,29,20,28
