Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
27,28,26,29,27,28
11,12,14,16,3,12
12,13,13,15,4,13
13,14,12,15,5,14
14,15,11,15,6,15
15,16,10,14,7,16
16,17,9,15,8,17
17,18,8,16,9,18
18,19,9,17,10,19
19,20,10,18,11,20
20,21,11,19,12,21
21,22,12,20,13,22
22,23,13,21,14,23
23,24,14,22,15,24
24,25,15,23,16,25
25,26,16,24,17,26
26,27,17,25,18,27
27,28,18,26,19,28
28,29,19,27,20,29
27,28,20,28,21,28
28,29,21,28,22,29
27,28,22,29,23,28
28,29,23,28,24,29
27,28,24,29,25,28
28,29,25,28,26,29
27,28,26,29,27,28
