Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
28,28,27,18,27,28
20,20,22,12,5,22
21,21,21,13,6,23
22,22,21,14,7,22
23,23,22,15,8,21
24,24,23,16,9,22
25,25,24,17,10,23
26,26,25,18,11,24
27,27,26,18,12,25
28,28,27,18,13,24
27,29,28,17,14,25
28,28,27,18,15,26
27,29,28,17,16,27
28,28,27,18,17,28
27,29,28,17,18,29
28,28,27,18,19,28
27,29,28,17,20,29
28,28,27,18,21,28
27,29,28,17,22,29
28,28,27,18,23,28
27,29,28,17,24,29
28,28,27,18,25,28
27,29,28,17,26,29
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
28,28,27,18,27,28
27,29,28,17,28,27
