Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
28,28,28,13,27,14
20,28,11,5,27,12
21,29,12,6,28,13
22,28,13,7,27,14
23,29,14,8,28,13
24,28,15,9,27,14
25,29,16,9,28,13
26,28,17,10,27,14
27,29,18,11,28,13
28,28,19,12,27,14
27,29,20,13,28,13
28,28,21,14,27,14
27,29,22,15,28,13
28,28,23,16,27,14
27,29,24,17,28,13
28,28,25,18,27,14
27,29,25,17,28,13
28,28,25,16,27,14
27,29,25,15,28,13
28,28,25,14,27,14
27,29,26,14,28,13
28,28,26,13,27,14
27,29,27,13,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,26,15,27,14
27,29,26,14,28,13
28,28,26,13,27,14
27,29,27,13,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,27,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,26,15,27,14
27,29,26,14,28,13
28,28,26,13,27,14
27,29,27,13,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,12,28,13
28,28,28,12,27,14
27,29,27,13,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,26,14,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
28,28,28,13,27,14
27,29,27,14,28,13
