Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
27,17,16,19,17,18
9,15,4,21,15,20
10,16,5,21,16,19
11,17,6,20,17,18
12,18,7,19,16,19
13,19,8,19,17,18
14,20,9,18,16,19
15,19,10,18,17,18
16,18,11,18,16,19
17,17,12,19,17,18
18,16,13,19,16,19
19,17,14,20,17,18
20,16,15,19,16,19
21,17,16,19,17,18
22,16,17,18,16,19
23,17,16,19,17,18
24,18,17,18,16,19
25,19,16,19,17,18
26,18,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
27,17,16,19,17,18
28,16,17,18,16,19
